id,trigger_values,triggering_question_id,conditional_question_id
1441,"1,2,3,-7,-3",670,680
1442,"1,2,3,-7,-3",670,709
1443,>1,709,6141
1444,"1,2,3,-7,-3",670,728
1445,"1,2,3,-7,-3",670,738
1446,1,6142,777
1447,>0,777,796
1448,1,6142,757
1449,1,6142,767
1450,>0,777,6143
1451,1,6142,806
1452,1,6142,816
1453,1,6142,826
1454,"2,3,4,-1,-3",826,3426
1455,"2,3,4,5,6,-7,-3",6138,845
1456,5,6164,2634
1457,4,6164,1021
1458,2,6164,3647
1459,3,6164,1001
1460,>1,904,914
1461,>1,864,874
1462,1,6164,981
1463,5,6164,2624
1464,4,6164,1011
1465,2,6164,3637
1466,"0,1,2,3,4,5,6,7,-1,-3",864,943
1467,3,6164,991
1468,1,6164,971
1469,"0,1,2,3,4,5,6,7,-1,-3",864,6162
1470,"0,1,2,3,4,5,6,7,-1,-3",864,924
1471,"1,2,3,4,-1",1110,1120
1472,"1,2,3,4,-1",1110,1130
1473,"1,2,3,4,-1",1110,1140
1474,"1,2,3,4,-1",1110,1150
1475,"2,0,-3",1239,1249
1476,"2,3",1249,2644
1477,1,1239,3436
1478,1,1239,3446
1479,3,3446,5959
1480,"1,2",3446,3456
1481,1,5959,6194
1482,1,5959,6183
1483,"1,2",3446,3466
1484,"1,2",3446,3476
1485,1,1239,3486
1486,1,1239,3496
1487,1,1239,3506
1488,3,3506,6158
1489,1,1249,2867
1490,1,1249,2877
1491,"1,2",2877,2887
1492,1,1249,2897
1493,1,1249,2907
1494,1,2907,6157
1495,1,2907,2926
1496,1,2907,2936
1497,"2,0,-3",1239,1259
1498,"2,0,-3",1239,1269
1499,"2,0,-3",1239,1279
1500,!=2,6144,1408
1501,"3,-1",1428,2654
1502,>1,1438,1448
1503,>1,1458,1468
1504,">1, -10",1498,1508
1505,6,1558,3731
1506,"4,5",1558,4429
1507,"4,5",1558,4451
1508,"4,5",1558,4462
1509,"1,2,3",1558,1568
1510,"1,2,3",1558,1578
1511,"1,2,3",1558,1588
1512,"1,2,3",1558,1598
1513,"1,2,3",1558,1608
1514,"1,2,3,4,5",1558,1618
1515,"1,2,3,4,5",1558,1628
1516,3,1628,2664
1517,1,3731,3859
1518,">2,-3,-1",2139,2149
1519,1,1797,2946
1520,1.0,3912,2946
1521,0,1797,1807
1522,0.0,3912,1807
1523,1,1835,1845
1524,1.0,3942,1845
1525,0,1835,3526
1526,0.0,3942,3526
1527,1,2207,2217
1528,1,6159,3799
1529,2,6159,4067
1530,3,6159,3404
1531,4,6159,3571
1532,5,6159,3741
1533,6,6159,3414
1534,7,6159,3773
1535,8,6159,2956
1536,1,2335,3606
1537,0,3606,3751
1538,1,3606,3616
1539,1.0,3751,3616
1540,1,2345,2355
1541,0,2415,2415
1542,1,6150,3894
1543,2,6150,3627
1544,3,6150,4056
1545,4,6150,2966
1546,5,6152,4012
1547,7,6152,4022
1548,6,6152,3992
1549,8,6152,3786
1550,9,6152,3761
1551,1,2443,4041
1552,!= 1,4041,2976
1553,!= 1,4041,2986
1554,1,2463,6151
1555,1,2463,3005
1556,"1,0,-1,-3",2247,2257
1557,"1,0,-1,-3",2247,3393
1558,1,2674,2684
1559,1,2694,2704
1560,1,2724,3581
1561,0,2724,3700
1562,0,2724,3710
1563,"0,3,-3",2724,3720
1564,>0,2734,2744
1565,1,2734,3872
1566,>1,2734,2754
1567,>1,2734,2764
1568,1,2774,3829
1569,1,2774,3839
1570,1,2774,3849
1571,1,2784,2794
1572,1,2784,2804
1573,1,2814,3546
1574,"1,0,3,-3",2724,3591
1575,2,2724,2824
1576,1.0,3591,2824
1577,-7.0,6177,6177
